
Video time	m	s	boosterSpeed km/h	boosterAlt km	shipSpeed km/h	shipAlt km
0	4	36	2350	87	8482	127
0	4	36	2350	87	8482	127
0.018139	4	37	2351	87	8489	128
0.32844	4	37	2357	87	8501	128
0.578727	4	37	2362	87	8511	128
0.834708	4	37	2368	87	8521	128
1.078926	4	38	2374	87	8536	128
1.442522	4	38	2383	87	8552	128
1.828339	4	38	2389	86	8566	128
2.165453	4	39	2397	86	8578	128
2.405179	4	39	2401	86	8586	128
2.604279	4	39	2406	86	8597	128
2.833412	4	39	241	86	8607	128
3.065543	4	40	2417	86	8617	128
3.293151	4	40	2421	86	8625	129
3.503816	4	40	2427	86	8635	129
3.728865	4	40	2432	86	8645	129
3.969965	4	41	2435	86	8654	129
4.186212	4	41	2441	86	8663	129
4.418843	4	41	2445	85	8673	129
4.631675	4	41	2450	85	8682	129
4.855356	4	41	2455	85	8692	129
5.067565	4	42	2459	85	8701	129
5.28505	4	42	2465	85	871	129
5.503661	4	42	2470	85	871	129
5.711685	4	42	2475	85	8728	129
5.924245	4	42	2479	85	8738	129
6.132142	4	43	2484	85	8748	129
6.349026	4	43	2490	85	8757	129
6.569024	4	43	2495	84	8766	129
6.785134	4	43	2500	84	8777	130
7.01951	4	NaN	2505	84	8787	130
7.244401	4	NaN	251	84	8798	130
7.495721	4	NaN	251	84	8807	130
7.70784	4	NaN	2521	84	8816	130
7.971263	4	45	2527	84	8832	130
8.319262	4	45	2536	84	8844	130
8.618705	4	45	2543	83	8858	130
8.915863	4	46	2549	83	8868	130
9.218594	4	46	2556	83	8884	130
9.715685	4	46	2563	83	8892	130
9.902129	4	46	2563	83	8899	130
10.08804	4	47	2574	83	8917	130
10.358169	4	47	2582	83	8930	130
10.577354	4	47	2586	82	8940	131
10.844621	4	47	2592	82	8952	131
11.125642	4	48	2600	82	8964	131
11.349952	4	48	2605	82	8976	131
11.658708	4	48	261	82	8986	131
11.863717	4	48	2617	82	8997	131
12.109896	4	49	2623	82	9007	131
12.290753	4	49	2627	82	9014	131
12.458738	4	49	2632	82	9021	131
12.639566	4	49	2636	81	9029	131
12.811584	4	49	2640	81	9038	131
12.97811	4	49	2644	81	9046	131
13.176596	4	50	2649	81	9055	131
13.353837	4	50	2653	81	9063	131
13.599177	4	50	2661	81	9075	131
13.889506	4	50	2666	81	9083	131
